 @relation Sittingmovements
@attribute MIN_GyroX numeric
@attribute MAX_GyroX numeric
@attribute Standard_deviation_GyroX numeric
@attribute Median_value_GyroX numeric
@attribute MIN_GyroY numeric
@attribute MAX_GyroY numeric
@attribute Standard_deviation_GyroY numeric
@attribute Median_value_GyroY numeric
@attribute MIN_GyroZ numeric
@attribute MAX_GyroZ numeric
@attribute Standard_deviation_GyroZ numeric
@attribute Median_value_GyroZ numeric
@attribute MIN_GyroX2 numeric
@attribute MAX_GyroX2 numeric
@attribute Standard_deviation_GyroX2 numeric
@attribute Median_value_GyroX2 numeric
@attribute MIN_GyroY2 numeric
@attribute MAX_GyroY2 numeric
@attribute Standard_deviation_GyroY2 numeric
@attribute Median_value_GyroY2 numeric
@attribute MIN_GyroZ2 numeric
@attribute MAX_GyroZ2 numeric
@attribute Standard_deviation_GyroZ2 numeric
@attribute Median_value_GyroZ2 numeric
@attribute MIN_AccelX numeric
@attribute MAX_AccelX numeric
@attribute Standard_deviation_AccelX numeric
@attribute Median_value_AccelX numeric
@attribute MIN_AccelY numeric
@attribute MAX_AccelY numeric
@attribute Standard_deviation_AccelY numeric
@attribute Median_value_AccelY numeric
@attribute MIN_AccelZ numeric
@attribute MAX_AccelZ numeric
@attribute Standard_deviation_AccelZ numeric
@attribute Median_value_AccelZ numeric
@attribute MIN_AccelX2 numeric
@attribute MAX_AccelX2 numeric
@attribute Standard_deviation_AccelX2 numeric
@attribute Median_value_AccelX2 numeric
@attribute MIN_AccelY2 numeric
@attribute MAX_AccelY2 numeric
@attribute Standard_deviation_AccelY2 numeric
@attribute Median_value_AccelY2 numeric
@attribute MIN_AccelZ2 numeric
@attribute MAX_AccelZ2 numeric
@attribute Standard_deviation_AccelZ2 numeric
@attribute Median_value_AccelZ2 numeric
@attribute class {FrontBack, FrontBack-unlocked, LeftRight, DoNothing, Spin, Roll_around, SitDown, StandUp}
@data
 -1.59, -1.51, -1.536, 0.021071307505705496, -14.37, -14.24, -14.330000000000002, 0.03633180424916956, 0.59, 0.63, 0.616, 0.012806248474865708, 1.42, 1.59, 1.5430000000000001, 0.04627094120503713, 2.35, 2.55, 2.478, 0.05211525688318148, -1.25, -1.06, -1.129, 0.052621288467691436, -0.11, -0.11, -0.11000000000000001, 1.3877787807814457E-17, 0.05, 0.06, 0.052000000000000005, 0.0039999999999999975, 0.88, 0.88, 0.8800000000000001, 1.1102230246251565E-16, -0.97, -0.96, -0.9620000000000001, 0.0040000000000000036, 0.07, 0.08, 0.07300000000000002, 0.004582575694955839, -0.05, -0.05, -0.049999999999999996, 6.938893903907228E-18, DoNothing
 -1.57, -1.51, -1.5340000000000003, 0.01685229954635273, -14.44, -14.28, -14.393, 0.04605431575867788, 0.56, 0.65, 0.615, 0.024596747752497684, 1.38, 1.57, 1.5010000000000001, 0.05107837115648858, 2.35, 2.56, 2.453, 0.05984145720150874, -1.24, -0.99, -1.1190000000000002, 0.07299999999999997, -0.11, -0.11, -0.11000000000000001, 1.3877787807814457E-17, 0.05, 0.06, 0.054000000000000006, 0.004898979485566354, 0.88, 0.88, 0.8800000000000001, 1.1102230246251565E-16, -0.96, -0.96, -0.9600000000000002, 2.220446049250313E-16, 0.07, 0.07, 0.07000000000000002, 1.3877787807814457E-17, -0.05, -0.04, -0.048999999999999995, 0.0030000000000000005, DoNothing
 -30.35, -0.11, -4.462999999999999, 8.708564807130967, -40.58, -1.16, -16.568, 9.149709066412987, -23.71, 32.09, 0.23800000000000027, 16.754408255739744, -26.53, 36.66, 2.5279999999999996, 18.50190357774032, -9.59, 135.42, 21.891, 41.36964429385391, -113.0, 112.45, -6.726999999999997, 62.32761186665184, -0.21, 0.05, -0.024999999999999994, 0.07392563831310488, -0.1, 0.05, -0.012, 0.04308131845707604, 0.88, 0.91, 0.89, 0.007745966692414841, -1.09, -0.96, -1.001, 0.04323193264243461, 0.04, 0.13, 0.06500000000000002, 0.03383784863137727, -0.01, 0.07, 0.010000000000000002, 0.025690465157330263, Spin
 -2.56, -0.51, -1.445, 0.638705722535817, -18.19, -12.63, -14.747999999999996, 1.4165013236845212, -23.71, 24.24, -1.374, 16.875463371415908, -24.41, 33.62, 2.664, 18.12158282270067, -12.36, 18.71, 2.104, 8.81868720388698, -29.69, 28.08, -0.7430000000000007, 19.90265713416176, 0.01, 0.12, 0.061, 0.037536648758246915, -0.04, 0.04, -0.006, 0.030724582991474434, 0.89, 0.89, 0.89, 0.0, -0.98, -0.96, -0.9720000000000001, 0.006000000000000006, 0.04, 0.06, 0.05, 0.008944271909999158, -0.01, -0.0, -0.005, 0.005, Spin
 -2.8, 0.33, -1.555, 0.9594712085310325, -18.64, -12.63, -14.696999999999997, 1.5533193490071513, -21.39, 24.24, 0.06799999999999988, 15.212122665821491, -24.41, 33.62, 1.6490000000000002, 18.07186844241624, -12.36, 18.71, 2.072, 7.672905316762355, -21.66, 21.79, -0.5460000000000004, 14.752269113597405, 0.08, 0.14, 0.11200000000000002, 0.020396078054371145, -0.04, 0.05, 0.0020000000000000005, 0.031240998703626618, 0.88, 0.89, 0.889, 0.0030000000000000027, -0.98, -0.96, -0.9690000000000001, 0.007000000000000005, 0.04, 0.07, 0.055999999999999994, 0.009165151389911681, -0.02, 0.01, -0.006, 0.008, Spin
 -2.8, 0.33, -1.5666666666666667, 0.7032938377536251, -18.64, -13.37, -14.701333333333336, 1.1904109467835982, -21.39, 18.59, -0.18999999999999995, 8.692103696267473, -17.03, 19.79, 1.833333333333333, 8.602061510023178, -4.82, 7.92, 2.0553333333333335, 3.6451371563891652, -12.25, 11.4, -1.966666666666667, 5.479347487510615, 0.08, 0.14, 0.1006666666666667, 0.022050447211388307, -0.04, 0.05, 0.007999999999999998, 0.01939071942966531, 0.88, 0.89, 0.8893333333333334, 0.0024944382578492973, -0.97, -0.96, -0.9680000000000002, 0.0040000000000000036, 0.04, 0.07, 0.05533333333333335, 0.007180219742846005, -0.02, 0.01, -0.006, 0.007118052168020873, DoNothing
 -1.64, -1.47, -1.5310000000000001, 0.0474236228055175, -15.4, -13.6, -14.532999999999998, 0.4669486053089783, 0.24, 0.82, 0.5810000000000001, 0.1675380553784721, 0.85, 1.81, 1.435, 0.27932955446926844, 0.94, 4.93, 2.5870000000000006, 1.0131243753853718, -1.69, -0.55, -1.2109999999999999, 0.3367328317821117, 0.07, 0.08, 0.078, 0.003999999999999998, 0.0, 0.01, 0.007000000000000001, 0.0045825756949558405, 0.89, 0.89, 0.89, 0.0, -0.97, -0.97, -0.97, 0.0, 0.05, 0.06, 0.052000000000000005, 0.003999999999999998, -0.01, -0.0, -0.008, 0.003999999999999999, DoNothing
 -3.38, -1.47, -1.705, 0.5603257980853639, -15.4, -10.99, -14.093, 1.1549376606553274, 0.24, 13.25, 1.783, 3.825700066654468, 0.85, 13.62, 2.618, 3.6766664249017746, 2.18, 9.9, 3.168, 2.2513409337548143, -1.33, 2.09, -0.8240000000000001, 0.9765060163665147, 0.01, 0.08, 0.06800000000000002, 0.0198997487421324, -0.01, 0.01, 0.006, 0.0066332495807108, 0.89, 0.89, 0.89, 0.0, -0.97, -0.96, -0.9689999999999998, 0.0030000000000000027, 0.05, 0.06, 0.051000000000000004, 0.0029999999999999983, -0.01, -0.01, -0.009999999999999998, 1.734723475976807E-18, DoNothing
 -3.38, -1.08, -1.736, 0.6143484353361698, -19.45, -10.99, -14.569000000000003, 1.9883835143150828, 0.27, 13.25, 1.9949999999999999, 3.7713054768872807, -0.5, 25.76, 5.470000000000001, 7.931214282819497, -10.41, 11.06, 1.6440000000000006, 6.396974597417127, -5.97, 9.86, -0.3590000000000001, 3.9949929912329005, -0.03, 0.08, 0.019, 0.045044422518220835, -0.02, 0.01, -3.4694469519536144E-19, 0.00894427190999916, 0.89, 0.89, 0.89, 0.0, -0.98, -0.96, -0.9700000000000001, 0.004472135954999583, 0.05, 0.06, 0.053000000000000005, 0.004582575694955837, -0.02, -0.01, -0.012, 0.004, DoNothing
 -2.27, -1.08, -1.5829999999999997, 0.2805369850839636, -19.45, -13.34, -15.184000000000001, 1.5311773248059806, 0.47, 1.43, 0.8, 0.34055836504188236, -0.5, 25.76, 4.289000000000001, 7.502981340773813, -10.41, 11.06, 1.143, 6.055141699415464, -5.97, 9.86, -0.6540000000000001, 3.916307444519646, -0.03, -0.0, -0.012, 0.0116619037896906, -0.02, 0.0, -0.006, 0.0066332495807108005, 0.89, 0.89, 0.89, 0.0, -0.98, -0.97, -0.9709999999999999, 0.0030000000000000027, 0.05, 0.06, 0.054000000000000006, 0.004898979485566354, -0.02, -0.01, -0.011999999999999999, 0.003999999999999999, DoNothing
