 
 
 @relation Sittingmovements
@attribute MIN_GyroX numeric
@attribute MAX_GyroX numeric
@attribute Standard_deviation_GyroX numeric
@attribute Median_value_GyroX numeric
@attribute MIN_GyroY numeric
@attribute MAX_GyroY numeric
@attribute Standard_deviation_GyroY numeric
@attribute Median_value_GyroY numeric
@attribute MIN_GyroZ numeric
@attribute MAX_GyroZ numeric
@attribute Standard_deviation_GyroZ numeric
@attribute Median_value_GyroZ numeric
@attribute MIN_GyroX2 numeric
@attribute MAX_GyroX2 numeric
@attribute Standard_deviation_GyroX2 numeric
@attribute Median_value_GyroX2 numeric
@attribute MIN_GyroY2 numeric
@attribute MAX_GyroY2 numeric
@attribute Standard_deviation_GyroY2 numeric
@attribute Median_value_GyroY2 numeric
@attribute MIN_GyroZ2 numeric
@attribute MAX_GyroZ2 numeric
@attribute Standard_deviation_GyroZ2 numeric
@attribute Median_value_GyroZ2 numeric
@attribute MIN_AccelX numeric
@attribute MAX_AccelX numeric
@attribute Standard_deviation_AccelX numeric
@attribute Median_value_AccelX numeric
@attribute MIN_AccelY numeric
@attribute MAX_AccelY numeric
@attribute Standard_deviation_AccelY numeric
@attribute Median_value_AccelY numeric
@attribute MIN_AccelZ numeric
@attribute MAX_AccelZ numeric
@attribute Standard_deviation_AccelZ numeric
@attribute Median_value_AccelZ numeric
@attribute MIN_AccelX2 numeric
@attribute MAX_AccelX2 numeric
@attribute Standard_deviation_AccelX2 numeric
@attribute Median_value_AccelX2 numeric
@attribute MIN_AccelY2 numeric
@attribute MAX_AccelY2 numeric
@attribute Standard_deviation_AccelY2 numeric
@attribute Median_value_AccelY2 numeric
@attribute MIN_AccelZ2 numeric
@attribute MAX_AccelZ2 numeric
@attribute Standard_deviation_AccelZ2 numeric
@attribute Median_value_AccelZ2 numeric
@attribute class {FrontBack, FrontBack-unlocked, LeftRight, DoNothing, Spin, Roll_around, SitDown, StandUp}
@data 
 -0.01, 0.05, 0.020999999999999998, 0.02118962010041709, -0.16, 0.01, -0.042, 0.04621688003316537, -0.12, 0.09, 0.019000000000000003, 0.06040695324215583, -0.14, 0.03, -0.018000000000000006, 0.053065996645686404, -0.05, 0.06, 0.005, 0.036124783736376884, -0.03, 0.06, 0.01, 0.026076809620810593, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.65, 1.0, 0.9480000000000001, 0.10562196741208715, 0.65, 1.0, 0.9480000000000001, 0.10562196741208715, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.02, 0.05, 0.017, 0.020518284528683192, -0.16, -0.01, -0.05500000000000001, 0.04387482193696061, 0.02, 0.09, 0.05100000000000001, 0.024269322199023197, -0.01, 0.07, 0.020999999999999998, 0.027, -0.05, 0.06, 0.009999999999999998, 0.033763886032268264, -0.03, 0.03, -0.004000000000000001, 0.019595917942265426, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.02, 0.04, 0.02, 0.02097617696340303, -0.18, 0.02, -0.061999999999999986, 0.05455272678794342, -0.35, 0.07, -0.023, 0.1241813190459821, -0.37, 0.07, -0.04, 0.130384048104053, -0.1, 0.06, 0.012, 0.04578209256903839, -0.03, 0.11, 0.012, 0.038678159211627434, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.02, 0.14, 0.031, 0.0439203825119955, -0.18, 0.02, -0.084, 0.06437390775772432, -0.35, 0.08, -0.064, 0.12619033243477887, -0.37, 0.07, -0.08399999999999999, 0.1377824371971987, -0.1, 0.06, 0.003, 0.05080354318352215, -0.1, 0.11, 0.013999999999999999, 0.058172158288995954, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, DoNothing
 -0.11, 0.14, 0.014000000000000004, 0.061514225996918796, -0.2, -0.04, -0.099, 0.05223983154643591, -0.57, 0.08, -0.12299999999999997, 0.19416745350341286, -0.61, 0.07, -0.13499999999999998, 0.20175480167768003, -0.06, 0.07, 0.014000000000000002, 0.04294182110716778, -0.1, 0.14, 0.013000000000000001, 0.06309516621738943, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, DoNothing
 -0.11, 0.04, -0.003, 0.04172529209005013, -0.2, -0.0, -0.05900000000000001, 0.05629387178015029, -0.57, 0.1, -0.07199999999999997, 0.21136697944570246, -0.61, 0.07, -0.089, 0.2093537675801417, -0.05, 0.07, 0.007000000000000002, 0.03742993454442581, -0.02, 0.14, 0.013000000000000001, 0.04382921400162225, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 -0.02, 0.05, 0.014000000000000002, 0.020591260281974, -0.06, -0.0, -0.018000000000000002, 0.018867962264113206, 0.05, 0.1, 0.074, 0.015620499351813309, -0.01, 0.09, 0.05600000000000001, 0.02973213749463701, -0.05, 0.04, -0.007000000000000001, 0.02531797780234433, -0.03, 0.01, -0.006999999999999999, 0.011874342087037918, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 0.0, 0.08, 0.033, 0.021931712199461308, -0.06, 0.04, -0.016, 0.026153393661244043, 0.07, 0.91, 0.269, 0.29422610353264034, 0.04, 0.87, 0.263, 0.2925081195454239, -0.04, 0.07, 0.008, 0.03026549190084311, -0.03, 0.07, 0.005000000000000002, 0.029748949561287034, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, DoNothing
 0.01, 0.08, 0.031000000000000007, 0.02118962010041709, -0.06, 0.04, -0.004, 0.03469870314579494, -0.48, 0.91, 0.10899999999999999, 0.43189003229989, -0.52, 0.87, 0.094, 0.4408900089591507, -0.0, 0.07, 0.038, 0.024819347291981715, -0.04, 0.07, 0.0020000000000000013, 0.0354400902933387, -0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
 0.01, 0.05, 0.022, 0.013266499161421601, -0.04, 0.04, 0.015000000000000003, 0.02837252191822221, -0.48, 0.09, -0.097, 0.1865502613238588, -0.52, 0.05, -0.11699999999999997, 0.19529720940146583, -0.01, 0.07, 0.027000000000000003, 0.028301943396169815, -0.06, 0.01, -0.019, 0.02467792535850613, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, -0.0, -0.0, 0.0, 0.0, -0.0, -0.0, 0.0, 0.0, DoNothing
